anime_id,url,poster,title,overview,score,anime_studio,producer,genres
0,https://aniwaves.ru/watch/you-shou-yan-5th-season-82509,https://static.aniwaves.ru/resources/thumbnails/200x280/100/be27a80191585ec03649a0ca51cb0ba1.jpg,Fabulous Beasts 5th Season,Fifth season of You Shou Yan.,,['Fenz'],['bilibili'],"['Comedy', 'Fantasy']"
1,https://aniwaves.ru/watch/xian-ni-73347,https://static.aniwaves.ru/resources/thumbnails/200x280/100/92491af89236ddd4fba1c6cea3f890ec.jpg,Renegade Immortal,"Wang Lin is a very smart boy with loving parents. Although he and his parents are shunned by the rest of their relatives, his parents have always held high hopes that he will one day achieve greatness. One day, Wang Lin suddenly gained the chance to walk the path of an immortal but found that he only had mediocre talent at best. Watch Wang Lin as he breaks through his lack of talent and walks the path towards becoming a real immortal!(Source: Xian Ni Wiki)",8.0,['BUILD DREAM'],['Tencent Penguin Pictures'],"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
2,https://aniwaves.ru/watch/one-piece-81553,https://static.aniwaves.ru/resources/thumbnails/200x280/100/65b9eea6e1cc6bb9f0cd2a47751a186f.jpg,One Piece,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.",9.0,['Toei Animation'],"['Fuji TV', 'TAP']","['Action', 'Adventure', 'Fantasy', 'Shounen']"
3,https://aniwaves.ru/watch/shunkashuutou-daikousha-haru-no-mai-82518,https://static.aniwaves.ru/resources/thumbnails/200x280/100/81c93c0e786b5c677af454c4e4919347.jpg,Agents of the Four Seasons: Dance of Spring,"Winter was once the only season in the world-but such an existence was too lonely to bear, and so it created Spring to love. Before long, the earth wished for more time to rest in the cycle, and Summer and Autumn were born. The ones who carry the cycle are called the Agents of the Four Seasons. Hinagiku, the Agent of Spring, disappeared from this land ten years ago, taking the season of spring with her. Now, after incredible hardship, she has returned to restore the cycle to its proper state-and, as in the myth passed down since the dawn of time, she sends her love to Winter.(Source: Yen Press)",8.0,['Wit Studio'],"['Aniplex', 'Tohokushinsha Film Corporation', 'Tokyo MX', 'JR East Marketing & Communications', 'Kadokawa']","['Drama', 'Fantasy', 'Romance', 'Urban Fantasy']"
4,https://aniwaves.ru/watch/kuroneko-to-majo-no-kyoushitsu-82585,https://static.aniwaves.ru/resources/thumbnails/200x280/100/89231a53e26c2cc6bebfbb3add9c48df.jpg,The Classroom of a Black Cat and a Witch,"The Royal Diana Academy is a prestigious school that accepts individuals with adept magical abilities. Upon graduation, these students find themselves at the top of their field or employed by the royal family. Spica Virgo dreams of studying at the academy, aiming to be a top-rate sorceress like her idol Claude Sirius. Claude is a world-renowned sorcerer who became the institution's youngest instructor, but mysteriously disappeared soon after.Lacking the experience and connections required for admission, Spica finds herself unable to make meaningful progress with her training. One day, however, she meets a talking black cat with magical abilities. Hoping to change the situation for the better, she begs the animal to take her as his apprentice and teach her the magic she needs to attend the academy. The cat accepts the deal on one condition—she must find a way to reverse his feline curse. Despite the arduous challenges ahead of her, Spica is determined to prove herself as a student worthy of the cat's mentorship.",,['LIDENFILMS'],['Sonilude'],"['Comedy', 'Fantasy', 'School']"
5,https://aniwaves.ru/watch/diamond-no-ace-act-ii-second-season-82551,https://static.aniwaves.ru/resources/thumbnails/200x280/100/355fe084fac819aa1cb0b2f1a9f06603.jpg,Ace of Diamond Act II Season 2,Sequel to Diamond no Ace: Act II.,8.0,['OLM'],"['TV Tokyo', 'Pony Canyon', 'Kodansha', 'AT-X', 'DAX Production', 'DMM.com', 'MAGNET', 'Tokyu Agency']","['Sports', 'School', 'Team Sports', 'Shounen']"
6,https://aniwaves.ru/watch/xian-wang-de-richang-shenghuo-5-82426,https://static.aniwaves.ru/resources/thumbnails/200x280/100/dfb0db862931f84903dcd590c310a5a9.jpg,The Daily Life of the Immortal King 5,"Wang Ling's family life is turned upside down with the arrival of a little sister, Wang Nuan. Immortal King Wang Ling vows to teach Wang Nuan to control her strength. In doing so, her strength catches the attention of Ye Kui, a sinister organization, and Bai Zhe, a high-level prisoner of the Mysterious Prison. Wang Ling decides to bring Wang Nuan along and teach these villains a lesson!(Source: Amazon Prime Video)",8.0,['Liyu Culture'],['bilibili'],"['Adventure', 'Comedy', 'Fantasy', 'School']"
7,https://aniwaves.ru/watch/yozakura-san-chi-no-daisakusen-2nd-season-82584,https://static.aniwaves.ru/resources/thumbnails/200x280/100/fda35f1c71e34ea2c65adac1eb4626d0.jpg,Mission: Yozakura Family Season 2,Second season of Yozakura-san Chi no Daisakusen.,,['SILVER LINK.'],['NBCUniversal Entertainment Japan'],"['Action', 'Comedy', 'Shounen']"
8,https://aniwaves.ru/watch/doupo-cangqiong-nian-fan-79746,https://static.aniwaves.ru/resources/thumbnails/200x280/100/f1adc566d2d3310871f34b1de8118f96.jpg,Battle Through The Heavens Season 5,Fifth season of Doupo Cangqiong.,8.0,['Motion Magic'],"['Tencent Penguin Pictures', 'China Literature Limited', 'Wanda Media']","['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
9,https://aniwaves.ru/watch/douluo-dalu-ii-jueshi-tangmen-79749,https://static.aniwaves.ru/resources/thumbnails/200x280/100/1b05614babe39f64315f1e1c6183d8b8.jpg,Soul Land 2: The Peerless Tang Clan,"A strange continent in another world.No magic, no battle qi, no martial arts, only martial spirits. Ten thousand years after the Tang clan was founded on the Douluo continent, the Tang clan has declined to the verge of extinction.A whole new generation of proud talents has been born. Will the new generation of the Seven monsters of Shrek be able to reestablish the Tang Clan and compose a new tale of greatness for the unrivaled Tang Clan?(Source: IMDB)",8.0,['Sparkly Key Animation Studio'],"['Tencent Penguin Pictures', 'Xuanshi Tangmen']","['Action', 'Adventure', 'Fantasy', 'Martial Arts']"
10,https://aniwaves.ru/watch/trigun-stargaze-82483,https://static.aniwaves.ru/resources/thumbnails/200x280/100/54bdfb6b7761f3eaaa498225a43d9135.jpg,Trigun Stargaze,"Two and a half years have passed since the Lost July incident, a catastrophe that reduced an entire city to ruins and sent shockwaves across the world.On the desert planet of No Man's Land, Vash the Stampede, a gunslinger who swore never to take a life, faces his final confrontation with his brother, Millions Knives, who seeks the complete destruction of humanity. As their fates collide, the battle that will determine the future of both mankind and the planet begins.(Source: MAL News)",7.0,['Orange'],"['Movic', 'TOHO animation', ""Toy's Factory"", 'Shounen Gahousha', 'Sonilude', 'Toho Music']","['Action', 'Adventure', 'Sci-Fi', 'Adult Cast', 'Shounen']"
11,https://aniwaves.ru/watch/ze-tian-ji-2026-82504,https://static.aniwaves.ru/resources/thumbnails/200x280/100/f4364e519ef2f11878efaf913b2971bd.jpg,Way of Choices,"In a fictional world where humans, demons and monsters coexist, Chen Changsheng comes to the capital of gods with a marriage certificate in order to change his fate. Together with a group of young heroes, he waged a desperate battle against the forces of darkness. At the same time, he also harvested love and started his journey of rising as a powerful man in the capital of gods.(Source: iQIYI, translated)",8.0,['Shenman Entertainment'],['iQIYI'],"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
12,https://aniwaves.ru/watch/marika-chan-no-koukando-wa-bukkowareteiru-82515,https://static.aniwaves.ru/resources/thumbnails/200x280/100/0387585c07855f3821a2f3abc46a5b92.jpg,Marika's Love Meter Malfunction,"Confessing to my childhood friend Marika was impossible for someone as unpopular as me. So, I did what any desperate boy would do—I wished upon a shooting star! When I woke up, that dream had come true?! I could see a love meter for people, just like in a love simulation game. Once I realized this was real and not a dream I went straight to see Marika. Her love meter was so low it had broken and practically fallen all the way to hell! If she hated me so much why was she so nice?! Is this how she really felt or...?!(Source: Coolmic)",6.0,['Studio LEO'],"['Studio Mausu', 'Suiseisha']","['Comedy', 'Romance', 'Ecchi']"
13,https://aniwaves.ru/watch/yomi-no-tsugai-82545,https://static.aniwaves.ru/resources/thumbnails/200x280/100/a952a3d25fd7aaa22a8997b6590579a6.jpg,Daemons of the Shadow Realm,"In an isolated village, two twins were born, separated by day and night. It is years later, and while the older brother Yuru has become a hunter of animals, his sister Asa has been locked away in a cage, ordered to perform a special duty that prohibits her from meeting more than a few select individuals.On an otherwise inconspicuous day, a group of armed men riding in helicopters, referred to as 'dragons' by the citizens, assaults the village in search of Yuru, killing every adult on sight. When Yuru attempts to meet up with Asa and flee, he finds a dead body instead—on top of that, the person who killed her claims to be Yuru's true twin sister.Before the woman can capture him, Yuru is rescued by a man named Dera, an outsider who frequently visits the village. However, it is not long before the two are cornered. In a last-ditch effort, Dera makes Yuru give a gift to the deity of the village, summoning a pair of daemons whose existence is bound to reveal the truth behind these chaotic events.",8.0,['Bones Film'],"['Bones', 'Aniplex', 'Square Enix', 'Peerless Gerbera']","['Action', 'Adventure', 'Fantasy', 'Shounen']"
14,https://aniwaves.ru/watch/nippon-sangoku-82552,https://static.aniwaves.ru/resources/thumbnails/200x280/100/bc0129183510cf3f4f8c07cd534db267.jpg,Nippon Sangoku: The Three Nations of the Crimson Sun,"In the near future, Japan has completely collapsed due to a mix of nuclear warfare, natural disasters, and widespread corruption that sparked a revolution.The country is now split into three warring superpowers. This new era of the Three Kingdoms Period sees diplomacy vanish, replaced by a harsh, relentless fight for power. Each territory is using its military strength and resources against the others in a desperate attempt for total control over the remnants of Japanese land.Aoteru Misumi is a low-ranking official who has stayed in the background for most of his life. He does not come from a prestigious military background or aristocracy, but Misumi has a strong ambition: to end the pointless bloodshed that afflicts the nation. He seeks to unify the fractured country, armed only with sharp insight and a persuasive voice that can rally the people.The legend of the man who will become a brilliant military strategist starts now.(Source: MAL News)",8.0,['Studio Kafka'],"['Sound Team Don Juan', 'Twin Engine', 'Amazon MGM Studios']","['Drama', 'Military']"
15,https://aniwaves.ru/watch/maid-san-wa-taberu-dake-82520,https://static.aniwaves.ru/resources/thumbnails/200x280/100/85c8803ba2cb546095a41bb4163589dd.jpg,The Food Diary of Miss Maid,"What's a maid to do when she finds herself suddenly stuck in Japan for a year? Eat, of course! Follow maid-in-training Suzume Tachibana as she tries all sorts of Japanese food, from sweets like taiyaki and melon bread to savory snacks like takoyaki and onigiri! Be warned, though—while Suzume sates her appetite through delicious treat after delicious treat, she might just end up whetting yours!(Source: Kodansha USA)",7.0,['EMT Squared'],"['Lantis', 'DAX Production', 'KlockWorx', 'Docomo Anime Store', 'Yomiuri TV Enterprise', 'RAY', 'MAGNET', 'BS Asahi', 'Bandai Namco Music Live', 'Happinet Media Marketing']","['Gourmet', 'Slice of Life']"
16,https://aniwaves.ru/watch/hunter-x-hunter-2011-82579,https://static.aniwaves.ru/resources/thumbnails/200x280/100/e73fbcd9d68e7afc9d66afb872aac5fa.jpg,Hunter x Hunter,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.",9.0,['Madhouse'],"['VAP', 'Nippon Television Network', 'Shueisha']","['Action', 'Adventure', 'Fantasy', 'Shounen']"
17,https://aniwaves.ru/watch/tsue-to-tsurugi-no-wistoria-season-2-82583,https://static.aniwaves.ru/resources/thumbnails/200x280/100/5fe563bc9d971853c18bf509b2e98531.jpg,Wistoria: Wand and Sword Season 2,Second season of Tsue to Tsurugi no Wistoria.,,['Actas'],['Lantis'],"['Action', 'Fantasy', 'School', 'Shounen']"
18,https://aniwaves.ru/watch/ghost-concert-missing-songs-82553,https://static.aniwaves.ru/resources/thumbnails/200x280/100/c772596b67dba46f2bed563f7c432a46.jpg,Ghost Concert: Missing Songs,"In the year 2045, singing has been forbidden. Music is no longer created or performed by humans; instead, a music application called MiucS produces all songs on their behalf.One day, a girl named Seria Aiba hears a human singing voice while out with her friends—something that should no longer exist. Following the sound, she encounters a mysterious presence: a ghost. What appears before her is not an ordinary spirit, but a figure from beyond this world known as a Great Ghost.As Seria becomes drawn into encounters involving Great Ghosts, the psychic organization TERA, and a strange song known as the Possession Requiem, she finds herself stepping into a hidden side of a world that has erased human music.This is the story of how Seria's life begins to change—and the path that leads her toward becoming a ghost herself.(Source: MAL News)",6.0,['ENGI'],"['WOWOW', 'CBC Television', 'Movic', 'Glovision', 'Sammy', 'Kansai Telecasting', 'Kadokawa', 'Heart Company', 'BS Asahi', 'Aria Entertainment']","['Action', 'Sci-Fi', 'Supernatural', 'Music']"
19,https://aniwaves.ru/watch/ingoku-danchi-82554,https://static.aniwaves.ru/resources/thumbnails/200x280/100/b6bbfad139261ca5307e93e67591ebc0.jpg,Ingoku Danchi: Deviant's Apartment Complex,"Yoshida is a tiny, frail high school graduate who became an unwilling manager of an apartment complex when his father, the former manager, injured himself. Unbeknownst to him, this apartment complex houses quite a few women with very... unusual sexual preferences. This becomes a problem when a mysterious entity begins giving 'Libido Cloth' to these women—skimpy outfits that give them superpowers and cause them to go on lewd rampages! Will Yoshida be able to stop them?(Source: MU)",6.0,['Elias'],"['Studio Mausu', 'WWWave', 'Deregula']","['Comedy', 'Supernatural', 'Erotica']"
20,https://aniwaves.ru/watch/dead-account-82481,https://static.aniwaves.ru/resources/thumbnails/200x280/100/815e6577c305e7ece3949d42ae60cf70.jpg,Dead Account,"Always ready for a fight! Destruction for destruction's sake! The online streamer Aoringo is a troll, making the worst of the worst of boundary-pushing flamebait content and raking in the revenue from the hate-watchers. You may think he's nothing more than a bottom feeder and a drain on society, but in reality, he's high school dropout Souji Enishiro, a caring older brother with a sweet tooth who loves nothing more than his little sister. His viral videos? Just a way to pay his sister's medical bills. And even if all of humanity hates him, he doesn't care, so long as his little sister gets better. But then, something very strange begins to happen... Don't miss the debut of this modern-day occult exorcism battle manga!(Source: Kodansha)",7.0,['SynergySP'],"['TV Asahi', 'Kodansha', 'Nippon Columbia', 'Studio Mausu', 'Sammy', 'Crunchyroll', 'Bushiroad Move']","['Action', 'Supernatural', 'Shounen']"
21,https://aniwaves.ru/watch/mushen-ji-81981,https://static.aniwaves.ru/resources/thumbnails/200x280/100/4f99ea4e8119e4d941e9addd38463f4f.jpg,Tales of Herding Gods,"In the Disabled Elderly Village, there live nine elderly people with unpredictable origins and the young man Qin Mu they raised. One day, the cows that Qin Mu was responsible for grazing began to speak human words. From then on, Qin Mu became more aware of the dangers and beauty of Daxu, a land abandoned by gods: demons descended with darkness, divine bones danced in the ruins, and dragon bones protected their young, a giant ship that drags the sun... No matter what kind of danger he faces, Qin Mu is fearless. He has integrated the skills passed down by the Nine Elders and vowed to carve out a world with his unparalleled hegemony. (Source: Bilibili, translated)",8.0,['Sparkly Key Animation Studio'],['bilibili'],"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
22,https://aniwaves.ru/watch/uruwashi-no-yoi-no-tsuki-82486,https://static.aniwaves.ru/resources/thumbnails/200x280/100/8ab0606a66186d8550862e0486d86c69.jpg,In the Clear Moonlit Dusk,"Every time Yoi Takiguchi so much as lets out a sigh, her female classmates squeal in admiration and awe. She has been dubbed the school's 'prince' by virtue of her boyishly attractive appearance and casual disposition. However, she chooses to be indifferent toward the attention she receives and spends her days normally—that is, until the school's other prince, Kohaku Ichimura, waltzes into her life and calls her beautiful.Kohaku is nothing like a prince—he acts thoughtlessly and does as he pleases. But when he compliments her, Yoi feels flustered, and the way he looks at her gets her all nervous. He is the first boy to acknowledge her as a girl, and her attempts to distance herself prove futile as he seems to have set his sights on her. While Yoi keeps telling herself that it is nothing serious, even she cannot completely ignore the stir Kohaku causes in her heart.",7.0,['East Fish Studio'],"['TBS', 'Kodansha', 'Magic Capsule', 'DMM.com', 'Good Smile Film']","['Romance', 'School', 'Shoujo']"
23,https://aniwaves.ru/watch/seihantai-na-kimi-to-boku-82487,https://static.aniwaves.ru/resources/thumbnails/200x280/100/d75b72e6b21e12400924635c33a19d73.jpg,You and I Are Polar Opposites,"Miyu Suzuki is a high school girl whose cheerful outlook on life is tempered by her need to fit in. Coincidentally, beside her in the classroom sits Yuusuke Tani, a boy unconcerned with others' expectations. Their exchanges rarely extend beyond brief discourse, yet the polarity of their demeanors unexpectedly draws them to one another.As their mutual interest grows, the newfound feelings are no longer easy to ignore. Eventually, Suzuki voices what is inside her heart, forcing both of them to confront the unspoken affection between them. With each passing moment, their relationship evolves, and they gradually come to better understand themselves and the person who is their polar opposite.",8.0,['Lapin Track'],"['Dentsu', 'Shochiku', 'Mainichi Broadcasting System', 'Tohokushinsha Film Corporation', 'Shueisha', 'Shochiku Music Publishing', 'AbemaTV']","['Comedy', 'Romance', 'School', 'Shounen']"
24,https://aniwaves.ru/watch/liar-game-82558,https://static.aniwaves.ru/resources/thumbnails/200x280/100/fa72ec317d046362ef699b5155431540.jpg,Liar Game,"College student Nao Kanzaki has always adhered to her name's meaning: 'foolishly honest.' However, after opening an unsolicited package containing one hundred million yen, she inadvertently accepts an invitation for the 'Liar Game.' In this tournament, contestants are encouraged to betray and deceive their opponents to gain a massive amount of cash; conversely, losing will incur a lifetime debt. With all hopes lost, her only option left is to seek help from a con artist.On that same day, the infamous swindler Shinichi Akiyama is finally released from jail. This former psychology student is known for single-handedly bankrupting an entire company, and Nao believes he is her only chance at escaping her dire situation. At first, Shinichi is hesitant to commit another crime, ignoring Nao and her request. But after seeing her desperation and persistence, he agrees to assist her.In this fraudulent world, Nao and Shinichi have their own motives. Yet, soon they see the true nature of not only the game, but also everyone involved.",,['Madhouse'],['Bit grooove promotion'],"['Drama', 'Suspense', 'High Stakes Game', 'Psychological', 'Strategy Game', 'Seinen']"
25,https://aniwaves.ru/watch/ponkotsu-fuuki-iin-to-skirt-take-ga-futekisetsu-na-jk-no-hanashi-82557,https://static.aniwaves.ru/resources/thumbnails/200x280/100/aee78551a5c0f8950fe228bc2dcbf9f8.jpg,The Klutzy Class Monitor and the Girl with the Short Skirt,"Sakuradaimon takes his role on the school's Public Morals Committee very seriously. Every day, he dutifully checks students' appearances at the school gate—most often scolding Kohinata, a rule-breaking girl with bright hair and a short skirt.Though she finds his constant lecturing annoying, everything changes when she discovers that Sakuradaimon is actually a bit of a mess himself.A lighthearted short romantic comedy about a strict committee member, a bold classmate, and the chaotic school life that brings them together.(Source: MAL News)",,['Zero-G'],"['AQUA ARIS', 'Saber Links']","['Comedy', 'Romance', 'School', 'Shounen']"
26,https://aniwaves.ru/watch/isekai-nonbiri-nouka-2-82555,https://static.aniwaves.ru/resources/thumbnails/200x280/100/5bae81468ee225f67506c853f4d80179.jpg,Farming Life in Another World Season 2,Second season of Isekai Nonbiri Nouka.,8.0,['Zero-G'],"['MediaNet', 'Pony Canyon', 'AT-X', 'Hakuhodo', 'Kadokawa', 'Bit grooove promotion', 'CTW']","['Fantasy', 'Slice of Life', 'Isekai']"
27,https://aniwaves.ru/watch/tongari-boushi-no-atelier-82556,https://static.aniwaves.ru/resources/thumbnails/200x280/100/43154a9e0af871257cde5994375790d4.jpg,Witch Hat Atelier,"Coco, a humble dressmaker's daughter, has always been fascinated by magic and the witches who cast it, despite the strict precautions they take to hide their methods from the public. However, when Coco takes advantage of a golden chance to spy on the skilled witch Qifrey, she realizes that her favorite picture book was a disguised magic book all along! In her excitement, she immediately starts testing out the various spells.When a spell causes a disaster in her home, Qifrey rescues her just in time and decides to train her, realizing that she is the first lead he has found that could help him track down the Brimmed Caps—a dangerous group of heretics who experiment with forbidden body-altering magic and spread magical artifacts among the commoners. But before Coco and Qifrey can confront the Brimmed Caps, she is going to have to improve her magical skills and learn to get along with Qifrey's other apprentices.",9.0,['BUG FILMS'],"['Kodansha', 'Avex Pictures', 'Crunchyroll', 'Twin Engine', 'dugout']","['Fantasy', 'Seinen']"
28,https://aniwaves.ru/watch/nippon-sangoku-82552,https://static.aniwaves.ru/resources/thumbnails/200x280/100/bc0129183510cf3f4f8c07cd534db267.jpg,Nippon Sangoku: The Three Nations of the Crimson Sun,"In the near future, Japan has completely collapsed due to a mix of nuclear warfare, natural disasters, and widespread corruption that sparked a revolution.The country is now split into three warring superpowers. This new era of the Three Kingdoms Period sees diplomacy vanish, replaced by a harsh, relentless fight for power. Each territory is using its military strength and resources against the others in a desperate attempt for total control over the remnants of Japanese land.Aoteru Misumi is a low-ranking official who has stayed in the background for most of his life. He does not come from a prestigious military background or aristocracy, but Misumi has a strong ambition: to end the pointless bloodshed that afflicts the nation. He seeks to unify the fractured country, armed only with sharp insight and a persuasive voice that can rally the people.The legend of the man who will become a brilliant military strategist starts now.(Source: MAL News)",8.0,['Studio Kafka'],"['Sound Team Don Juan', 'Twin Engine', 'Amazon MGM Studios']","['Drama', 'Military']"
29,https://aniwaves.ru/watch/kill-ao-82581,https://static.aniwaves.ru/resources/thumbnails/200x280/100/e27649ba24249ecd2afec072241f86cf.jpg,Kill Blue,"Juuzou Oogami is a legendary hitman who has never failed an assignment, no matter how impossible. One day, after wiping out a powerful organization, he is stung by a mysterious wasp and collapses. When he wakes up, the fearsome 39-year-old assassin has been transformed into a 13-year-old boy!Before he can even process what happened, his boss delivers a new order: 'In that body, infiltrate a middle school.' What awaits him is an unexpected school life filled with colorful classmates, youthful chaos, and looming danger. Can Juuzou ever return to his original form? Or will the assassins closing in on him end his second life before it even begins!?(Source: Official site)",7.0,['Cue'],"['Sound Team Don Juan', 'DMM pictures', 'connypunk']","['Action', 'Comedy', 'School', 'Shounen']"
30,https://aniwaves.ru/watch/akuyaku-reijou-wa-ringoku-no-outaishi-ni-dekiai-sareru-82489,https://static.aniwaves.ru/resources/thumbnails/200x280/100/47da19f4e311d433559f24b234d59075.jpg,The Villainess Is Adored by the Prince of the Neighbor Kingdom,"On the day before her downfall, Lady Tiararose Lapis Clementille recalls that she is in an otome game that she had once played in her former life. She used to adore the main love interest Prince Hartknights Lapis-Lazuli Lactomuth, but unfortunately, she was not reincarnated as the heroine, but rather as is his worst enemy—the villainess fiancée.At their graduation ceremony, without blinking an eye, Hartknights condemns Tiararose for alleged crimes, breaks off his engagement, and proclaims the heroine Akari as his new bride-to-be. No matter whether Tiararose is innocent, he banishes her from the kingdom. But before her sentence can be carried out, a shocking figure appears. Aquasteed Marineforest, the prince of a powerful neighboring country, has been harboring feelings for Tiararose for quite some time, and announces his intention to marry her!Adored by the prince of another kingdom, what awaits the villainess on her path to a happy ending?",6.0,['Studio Deen'],"['Sotsu', 'Half H.P Studio', 'Kadokawa', 'AQUA ARIS']","['Fantasy', 'Romance', 'Villainess', 'Shoujo']"
31,https://aniwaves.ru/watch/shenkong-bi-an-82500,https://static.aniwaves.ru/resources/thumbnails/200x280/100/d9d671083f4c732e28e2a5b7a61acb23.jpg,The Other Side of Deep Space,"The new art of cultivating immortals with technology is rising, while the old art of cultivating immortals that has been passed down for thousands of years is gradually declining. Wang Xuan, a genius boy of the old art, accidentally joins the mysterious organization Secret Road. He seizes treasures, fights new art, fights immortals, and in a series of thrilling adventures, he peeks into the big secrets hidden in the old art. In order to cope with the huge crisis that is about to come, Wang Xuan does not hesitate to go deep into the universe and challenge the limits of his growth.(Source: Bilibili, translated)",7.0,['Motion Magic'],['bilibili'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
32,https://aniwaves.ru/watch/cheng-he-titong-2nd-season-82503,https://static.aniwaves.ru/resources/thumbnails/200x280/100/e1495a42580ff65c66775aaaae656792.jpg,How Dare You!? Season 2,Second season of Cheng He Titong.,7.0,['Shenying Animation'],['iQIYI'],"['Comedy', 'Romance', 'Historical', 'Isekai']"
33,https://aniwaves.ru/watch/mahou-no-shimai-lulutto-lilly-82559,https://static.aniwaves.ru/resources/thumbnails/200x280/100/082bc916a48ba9628d0afe87d10104c1.jpg,Mahou no Shimai Lulutto Lilly,"Fuu Nonoyama and Rui Nonoyama are sisters from a 'land of magic,' who were once on terms with one another, but have drifted apart. Suddenly, they are given magical powers by two cat-like spirits, Uguisu and Azuki, allowing them to transform into magical girl idols. However, there is a catch: these powers only last for a year and they cannot tell anyone that that magic exists. While neither Fuu nor Rui knows one another are magical girls, they soon begin their careers as idols.(Source: Wikipedia)",7.0,['Pierrot'],"['Bandai', 'Jinnan Studio', 'Bandai Spirits', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']",['Mahou Shoujo']
34,https://aniwaves.ru/watch/jigokuraku-2nd-season-82490,https://static.aniwaves.ru/resources/thumbnails/200x280/100/adde8043564f4d05627003a5a9d6f61d.jpg,Hell's Paradise Season 2,"Seeking the key to the elixir of immortality, the group arrives at the fortress of the island's monstrous ruler, the 'Tensen.' To survive and escape the island, cooperation becomes essential—regardless of whether one is a condemned criminal or an executioner.Meanwhile, the shogunate orders additional landings on the island of the Immortal Realm, led by Shugen Yamada Asayemon. Among them are the Ishigakure clan, who share a past with Gabimaru.Desperate to find the elixir and escape the island, Gabimaru and his companions face the Tensen in a battle that escalates into an all-out confrontation between humans and immortals!(Source: Twin Engine, edited)",8.0,['MAPPA'],"['Fujipacific Music', 'Twin Engine', 'dugout']","['Action', 'Adventure', 'Supernatural', 'Gore', 'Historical', 'Samurai', 'Shounen']"
35,https://aniwaves.ru/watch/koupen-chan-82214,https://static.aniwaves.ru/resources/thumbnails/200x280/100/35aad994083ec5ddec8383d4d7e4721c.jpg,Koupen-chan,"A baby emperor penguin, Koupen-chan, always makes sure everyone feels included. As it meets its newest friend, Koupen-chan wishes to spend as much time as possible with them and brighten up their day.",8.0,['Lesprit'],['Stay Luck'],"['Slice of Life', 'Anthropomorphic', 'Iyashikei']"
36,https://aniwaves.ru/watch/seihantai-na-kimi-to-boku-82487,https://static.aniwaves.ru/resources/thumbnails/200x280/100/d75b72e6b21e12400924635c33a19d73.jpg,You and I Are Polar Opposites,"Miyu Suzuki is a high school girl whose cheerful outlook on life is tempered by her need to fit in. Coincidentally, beside her in the classroom sits Yuusuke Tani, a boy unconcerned with others' expectations. Their exchanges rarely extend beyond brief discourse, yet the polarity of their demeanors unexpectedly draws them to one another.As their mutual interest grows, the newfound feelings are no longer easy to ignore. Eventually, Suzuki voices what is inside her heart, forcing both of them to confront the unspoken affection between them. With each passing moment, their relationship evolves, and they gradually come to better understand themselves and the person who is their polar opposite.",8.0,['Lapin Track'],"['Dentsu', 'Shochiku', 'Mainichi Broadcasting System', 'Tohokushinsha Film Corporation', 'Shueisha', 'Shochiku Music Publishing', 'AbemaTV']","['Comedy', 'Romance', 'School', 'Shounen']"
