anime_id,url,poster,title,overview,score,anime_studio,producer,genres
9377,https://aniwaves.ru/watch/bounen-no-xamdou-73364,https://static.aniwaves.ru/resources/thumbnails/200x280/100/92cad8e05ca788dc7475183dd19c959b.jpg,Xam'd: Lost Memories,"Sentan Island is a small island surrounded by the Yuden Sea. It exists in a state of dreamlike tranquility, cut off from the war between the Northern Government and the Southern Continent Free Zone. Our hero, Akiyuki Takehara, lives on Sentain Island along with his mother Fusa. He is currently separated from his father, the town doctor Ryuzo, but the bond between father and son remains. One day, after taking Ryuzo the lunch that Fusa has made for him as usual, Akiyuki arrives at school, where he is caught up in an explosion along with his friends, Haru and Furuichi. The explosion produces a mysterious light, which enters Akiyuki's arm, causing him excruciating pain. He's given no time to understand it, however, as the white-haired girl who rode on the bus with him guides him to a power unlike anything he's ever known.",8.0,['Bones'],"['Aniplex', 'Half H.P Studio', 'Sony Interactive Entertainment']","['Action', 'Adventure', 'Sci-Fi', 'Military']"
9378,https://aniwaves.ru/watch/x-1999-73365,https://static.aniwaves.ru/resources/thumbnails/200x280/100/c0f168ce8900fa56e57789e2a2f2c9d0.jpg,X - The Movie,"The future of the universe rests on one young man, Kamui Shiro, who must destroy either the Dragons of Earth or the Dragons of Heaven - two opposing armies. He alone must decide whether humanity should be destroyed to create a purified universe, or whether it should be protected to preserve civilization.Two oracles, the sisters Hinoto and Kanoe foresee the coming of the Dragons and predict opposite outcomes. Each sister gathers strength and ammunition to insure her own vision for the future. However, neither sister realizes that there is one man who has an even greater power than the Dragons, and that ultimately he will determine the fate of the earth.Which sister will prevail and how does Kamui fit into their struggle? The answer to this question will forever affect humanity.(Source: Manga Entertainment)",7.0,['Madhouse'],"['Kadokawa Shoten', 'Victor Entertainment', 'Marubeni', 'Movic', 'Sega', 'Shelty']","['Action', 'Drama', 'Fantasy', 'Mystery', 'Super Power', 'Shoujo']"
9379,https://aniwaves.ru/watch/xenosaga-the-animation-73366,https://static.aniwaves.ru/resources/thumbnails/200x280/100/6d0f846348a856321729a2f36734d1a7.jpg,Xenosaga The Animation,"The year is T.C. 4767. Four thousand years have passed since humanity abandoned its birthplace, the planet Earth. Beset by the hostile alien Gnosis, mankind is now scrambling to find ways to defeat this threat to their existence. The development of KOS-MOS (a specialized android with amazing capabilities) by Vector engineer Shion Uzuki was one response to the threat. But when their ship is destroyed by the Gnosis, Shion and her companions find themselves thrust into the middle of a battle with no clear sides...(Source: Anime-Planet)",6.0,['Toei Animation'],['Happinet Pictures'],"['Action', 'Sci-Fi', 'Mecha', 'Space']"
9380,https://aniwaves.ru/watch/xi-xing-ji-zaijian-wu-kong-73368,https://static.aniwaves.ru/resources/thumbnails/200x280/100/b1b35001cd4fc7b029b5a2041a6865f4.jpg,The Westward: Goodbye Wu Kong,"Prequel to animation series 'Journey to the West', Su Yi, a princess of the heavenly realm, befriends Sun Wukong in the mortal world and falls in love with him. However, Sun Wukong is violently treated as a demon by other gods and suppressed under the Five Fingers Mountain. In the past 300 years, the god Rulai has taught the Wukong how to uphold justice in his heart. Sun Wukong protects the Longevity Monk and goes to the other side of the world to retrieve the fire of creation for the benefit of the world, but finally returns after many ups and downs. The conspiracy surfaced and the fate of the master and disciples was rewritten.(Source: TMDB)",7.0,['BYMENT'],['Tencent Penguin Pictures'],"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
9381,https://aniwaves.ru/watch/x-men-73367,https://static.aniwaves.ru/resources/thumbnails/200x280/100/92a09a6958a7bc231e259ce2daaf1422.jpg,X-Men,"The X-Men are reunited following the death of a teammate, and are summoned by Charles Xavier to Japan following the abduction of Hisako Ichiki (Armor). There, they confront the U-Men, a lunatic cult that steals and transplants mutant organs to further strengthen their own army, and the battle for justice is on.(Source: Marvel)",6.0,['Madhouse'],"['Sony Pictures Entertainment', 'Atelier Musa']","['Action', 'Drama', 'Super Power']"
9382,https://aniwaves.ru/watch/xi-xing-ji-qiong-qi-didong-73361,https://static.aniwaves.ru/resources/thumbnails/200x280/100/beaacbb1aec9a28f28da723a355d8080.jpg,The Westward: The Fantasy Cave,No overview available.,,['BYMENT'],['Tencent Penguin Pictures'],"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
9383,https://aniwaves.ru/watch/xanadu-dragonslayer-densetsu-73360,https://static.aniwaves.ru/resources/thumbnails/200x280/100/b09d978ea462060c446ed6833f58735c.jpg,Xanadu Dragonslayer Densetsu,"Based on the role-playing game 'Legend of Xanadu'. The evil magician Reichswar has killed the King to gain possession of a magic crystal; now he means to use its power to rule the whole of Xanadu. Then the widowed Queen Rieru is kidnapped. One brave young warrior, wielding the magic blade Dragonslayer, goes to her rescue.(Source: The Anime Encyclopedia)",5.0,['Unknown_Studio'],['NA'],"['Adventure', 'Comedy', 'Fantasy']"
9384,https://aniwaves.ru/watch/xi-xing-ji-chongsheng-pian-73355,https://static.aniwaves.ru/resources/thumbnails/200x280/100/29078afdb70cf1375e7b0d1aa95aea55.jpg,The Westward 4th Season,The fourth season of Xi Xing Ji.,7.0,['BYMENT'],['Tencent Penguin Pictures'],"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
9385,https://aniwaves.ru/watch/x-73356,https://static.aniwaves.ru/resources/thumbnails/200x280/100/a8e864d04c95572d1aece099af852d0a.jpg,X,"In the fight between the Dragons of Heaven and the Dragons of Earth, the dream seer Princess Hinoto predicts the end of humanity. A central entity, 15-year-old Kamui Shirou, is to choose whether to ally with the Dragons of Earth and destroy civilization to protect the planet or with the Dragons of Heaven to save mankind.Following his mother's last wish, Kamui returns to Tokyo after six years of self-imposed exile. There, he attempts to steal the Sacred Sword from the temple protected by Kyougo Monou—the father of his childhood friends, Fuuma and Kotori. However, after Kamui's venture fails, a mysterious person manages to obtain the sword instead.Believing Kamui to be the man in her prophecy, Hinoto sends the Dragons of Heaven after him to rally him to their cause. Although Kamui first rejects his destiny, the incessant attacks by the Dragons of Earth against those he holds dear push him to decide whether the lives of his friends should prevail over the fate of the Earth and finally pick a side.",7.0,['Madhouse'],"['Bandai Visual', 'Kadokawa Shoten', 'd-rights', 'chara-ani.com']","['Action', 'Drama', 'Fantasy', 'Mystery', 'Super Power', 'Shoujo']"
9386,https://aniwaves.ru/watch/xi-yangyang-yu-hui-tailang-tu-nian-ding-gua-gua-73357,https://static.aniwaves.ru/resources/thumbnails/200x280/100/01b223d5ef0f87d5e7583a0ff02f7c10.jpg,Pleasant Goat and Big Big Wolf: Moon Castle - The Space Adventure,"The spring festival is around corner, but Mr. wolf doesn't feel happy at all. Mrs. Wolf is going to have baby, but Mr. Wolf can't catch any sheep. What is more, their castle is torn down making them homeless. Mr. Wolf needs to fight back. In the mean time, a sheep from the moon returns and tells the other sheep the secret of the sugar moon. The sheep go to the moon but are followed by wolfs. They are going to have war on the moon. Filled with different sorts of yummy candies, Moon used to be a paradise for those with a sweet tooth. It's also the residence of the Moon fairy and her magical rabbit. But one day the Lord of Bitterness invades Moon with the intention of making their happy life miserable. The rabbit escapes to Earth and seeks help from Pleasant Goat, who then leads a ragtag group of rescuers - including his nemesis Big Big Wolf - to restore peace on Moon.(Source: YesAsia & China Image Film Festival)",6.0,['Unknown_Studio'],"['Creative Power Entertaining', 'Alpha Group Co. Ltd.']","['Adventure', 'Comedy', 'Kids']"
9387,https://aniwaves.ru/watch/xi-yangyang-yu-hui-tailang-yangyang-kuaile-de-yi-nian-73358,https://static.aniwaves.ru/resources/thumbnails/200x280/100/6aeb3459c7be1a5fadf9032be01b2586.jpg,Pleasant Goat and Big Big Wolf: Joys of Seasons,No overview available.,,['Unknown_Studio'],['NA'],"['Adventure', 'Comedy', 'Kids']"
9388,https://aniwaves.ru/watch/xi-xing-ji-nian-fan-73359,https://static.aniwaves.ru/resources/thumbnails/200x280/100/e5207ea64b5437e7a888681a07648aec.jpg,The Westward 5th Season,The fifth season of Xi Xing Ji.,,['BYMENT'],['Tencent Penguin Pictures'],"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
9389,https://aniwaves.ru/watch/xian-mu-73354,https://static.aniwaves.ru/resources/thumbnails/200x280/100/0b7db370808a515fa4d2fd159e4686a6.jpg,Xian Mu,"One hundred thousand years ago, the immortal world was in a melee, the gods fell, and a hidden mystery 'Book of Life and Death' fell into the world. Young archaeologist Lu Yun accidentally broke into a burial chamber that could not be identified at all during a scientific expedition. So far, his peaceful life was broken, and he began a thrilling journey of searching for various mysteries. Lu Yun, who was dragged into the Immortal Realm by the Book of Heaven, was in charge of Xuanzhou City as Langxie Tian Xuanzhou Prefecture Shepherd. As soon as he arrived in the Immortal Realm, he encountered the first problem. Lu Yun's term of office was approaching, and the major families in Xuanzhou held the position of the prefectural shepherd. Eyeing tigers, in order to continue to serve, Lu Yun, who could not cultivate, sneaked into the Xuanchi Mountain tomb with his female envoy to find the Jiuqiao Jindan that could change his physique. In order to avoid the enemy's plot, Lu Yun and the female envoy sneaked into the depths of the tomb. The two were chased by the thousand-year-old corpse monster, swarms of corpse flies, and the strange Shi Ling queen accidentally hid in a woman's boudoir full of dark fragrance. With the power of the Book of Life and Death in his body, who knew that the woman on the portrait was Dan Xian Yuying of the last Xuanzhou prefectural shepherd, and the first messenger of reincarnation recorded in the Book of Heaven. With Danxian's recuperation, Lu Yun successfully changed his physique, and temporarily kept his identity through negotiation with Emperor Langxie, thinking that the matter would come to an end. Every night in his dreams, Lu Yun can always see some fragments that do not belong to his own memory. Once he entered Lu Yun's room, he saw the heavenly book in the sleeping Lu Yun's body vibrating wildly, accompanied by the strange scene of nine dragons carrying coffins around him. In order to solve the mystery of the Book of Heaven, Lu Yun went to Xuanshui City, which is adjacent to Xuanhe River, to find out the truth according to the book. The young child hid in the dark room, and the swaddled baby was put into a wooden box covered with thick cotton. To save the child, Lu Yun had to dive into Xuanhe to find out. The devastated Xuanhe Water Palace has long been occupied by the Gandalf monsters hidden in the darkness. Lu Yun and others have not yet escaped from the shocking monster group, and they are attacked by the demonized Xuanhe River God. In order to save their companion Qinghan, Using the Floating Life Map as a weapon, Lu Yun forced out the power of manipulating the Book of Life and Death in his body to conquer the River God, and obtained a new skill. So far, Lu Yun has conquered the fourth messenger of reincarnation, and each messenger of reincarnation represents It is the strongest in different aspects such as Talisman Dao, Martial Dao, Formation, and Refining. Lu Yun is approaching the truth of the scripture step by step, even if he is an enemy of heaven and earth, and the world is in the company of the world. At this time, the curse king sitting on the Jiuzhongtian looked at Lu Yun and smiled: 'Hmph, the ants who are beyond their own power...'(Source: Tencent Video, translated)",,['Suoyi Technology'],['Tencent Penguin Pictures'],"['Adventure', 'Fantasy']"
9390,https://aniwaves.ru/watch/xi-yangyang-yu-hui-tailang-yang-cun-shouhuzhe-73353,https://static.aniwaves.ru/resources/thumbnails/200x280/100/53a2913fbcaba9f46faa152c4322aae6.jpg,Pleasant Goat and Big Big Wolf: Mighty Little Defenders,No overview available.,,['Unknown_Studio'],['NA'],"['Adventure', 'Comedy', 'Kids']"
9391,https://aniwaves.ru/watch/xi-yangyang-yu-hui-tailang-xi-qi-yangyang-guo-she-nian-73348,https://static.aniwaves.ru/resources/thumbnails/200x280/100/a99ca222af24b50ef7c653f058a58e75.jpg,The Mythical Ark: Adventures in Love & Happiness,"In the face of impending disaster, the animal world is looking to the Mythical Ark for salvation. The problem is that only the snake tribe can operate the ark, and the snakes have already escaped to Utopia. To save the animals, Pleasant Goat and Big Big Wolf travel to Utopia to convince the snakes to help. In the process, they become friends, and the snakes agree to help. However, Pleasant Goat and Big Big Wolf decide to stay behind to save their homes. (Source: YesAsia)",6.0,['Unknown_Studio'],"['Creative Power Entertaining', 'Alpha Group Co. Ltd.']","['Adventure', 'Comedy', 'Kids']"
9392,https://aniwaves.ru/watch/xian-wang-de-richang-shenghuo-2-73350,https://static.aniwaves.ru/resources/thumbnails/200x280/100/815d3bbc6995c4dab6dfb10ba111b425.jpg,The Daily Life of the Immortal King 2,"Wang Ling has been living a quiet life ever since resolving a particular incident, but thanks to his previous tampering with the laws of nature, the level of psionic powers in the world has dropped drastically. To stop the levels from plummeting further, his spirit sword Jingke comes to the rescue. But due to the excessive use of power, Jingke ends up ripping a crack in space. This crack allows demons to infiltrate the world and steal spiritual energy essential to powering human society. Now the only person who has the power to thwart their plans is none other than Wang Ling.In an attempt to balance his high school life with his supernatural one, Wang Ling must confront challenges ranging from teacher home visits, crafting spiritual swords, grappling with his growing feelings for Sun Rong, and battling invading demons!",7.0,['Pb Animation Co. Ltd.'],['bilibili'],"['Adventure', 'Comedy', 'Fantasy', 'Mythology', 'School']"
9393,https://aniwaves.ru/watch/xian-wang-de-richang-shenghuo-3-73351,https://static.aniwaves.ru/resources/thumbnails/200x280/100/04aa1b20f2b63b62165d3009db17da3b.jpg,The Daily Life of the Immortal King 3,Third season of Xian Wang de Richang Shenghuo.,7.0,['Pb Animation Co. Ltd.'],['bilibili'],"['Adventure', 'Comedy', 'Fantasy', 'School']"
9394,https://aniwaves.ru/watch/jian-wang-3-xia-gan-yi-dan-shen-jianxin-73352,https://static.aniwaves.ru/resources/thumbnails/200x280/100/58c4686fe9e8771d6d44e703b7b7d8bd.jpg,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin,"Shen Jianxin is a security guard for Rye Scent Village, an average youth determined to become a legendary hero. While paying his respects at the prestigious Pure Yang Palace of Jianghu, he learned the palace’s ancestral secret manuals by accident. However, he was unaware of the power he gained. Thus, he entered Jianghu and gradually matured while experiencing the turmoil of Jianghu during the prosperous Tang Dynasty. An obscure security guard with unparalleled martial arts in Jianghu: who knows what storms are ahead?(Source: Guodong Subs)",7.0,['Shenying Animation'],"['bilibili', 'Seasun Pictures']","['Action', 'Adventure', 'Comedy', 'Historical', 'Martial Arts']"
9395,https://aniwaves.ru/watch/xi-you-ji-73343,https://static.aniwaves.ru/resources/thumbnails/200x280/100/5fa4dce9966d692bdc16aea86a025d67.jpg,Journey to the West: Legends of the Monkey King,"Sun Wukong, who was born from a magic stone, has been imprisoned underneath a mountain for five centuries for his mischief in the heavens. One day, the Diety Guanyin told Wukong that the Monk Tangsen will set him free, and Wukong will join him on a pilgrimage from China to India. The next day, Xuanzang came and set him free, and the two started their Journey to the west. Along the way, they meet two new friends, Zhu Bajie and the Hermit Sha Wujing who joins them on the journey; together, they face many dangers and evil creatures and sorcerers and learn to get along.(Source: Wikipedia)",7.0,['Unknown_Studio'],['CCTV Animation'],"['Adventure', 'Fantasy']"
9396,https://aniwaves.ru/watch/xiang-ling-ji-73344,https://static.aniwaves.ru/resources/thumbnails/200x280/100/a5e397440d35b3251add3529fc52f7b2.jpg,Xiang Ling Ji,"The 19-year-old tomboy exorcist Hua Jiu got to know 'evil spirit' Seven Lord and forced him to be her spirit servant when cleansing spirits. Later the human being and the spirit set forth on a journey of ranting each other and cleansing spirits. However, Hua Jiu's enemy started insidious revenge at the same time... (Source: Donghua List)",6.0,['Haoliners Animation League'],['Tencent Animation & Comics'],"['Action', 'Fantasy', 'Mythology']"
